emp_no,first_name,last_name,from_date,salary,title,to_date
10001,Georgi,Facello,1986-06-26,60117,Senior Engineer,9999-01-01
10004,Chirstian,Koblick,1986-12-01,40054,Senior Engineer,9999-01-01
10009,Sumant,Peac,1985-02-18,60929,Senior Engineer,9999-01-01
10018,Kazuhide,Peha,1987-04-03,55881,Senior Engineer,9999-01-01
10035,Alain,Chappelet,1988-09-05,41538,Senior Engineer,9999-01-01
10053,Sanjiv,Zschoche,1994-11-13,67854,Senior Staff,9999-01-01
10058,Berhard,McFarlin,1988-04-25,52787,Senior Staff,9999-01-01
10066,Kwee,Schusler,1986-02-26,69736,Senior Engineer,9999-01-01
10067,Claudi,Stavenow,1987-03-04,44642,Senior Engineer,9999-01-01
10070,Reuven,Garigliano,1985-10-14,55999,Technique Leader,9999-01-01
10072,Hironoby,Sidou,1989-05-21,40000,Senior Engineer,9999-01-01
10076,Erez,Ritzmann,1996-07-15,47319,Senior Engineer,9999-01-01
10088,Jungsoon,Syrzycki,1988-09-02,65957,Senior Staff,9999-01-01
10100,Hironobu,Haraldson,1987-09-21,54398,Senior Staff,9999-01-01
10103,Akemi,Birch,1998-01-12,68158,Engineer,9999-01-01
10126,Kayoko,Valtorta,1985-09-08,40000,Senior Staff,9999-01-01
10129,Armond,Peir,1996-01-16,40000,Technique Leader,9999-01-01
10130,Nishit,Casperson,1988-06-21,40000,Senior Engineer,9999-01-01
10134,Diederik,Siprelle,1987-12-12,40000,Senior Engineer,9999-01-01
10138,Perry,Shimshoni,1992-03-03,53574,Senior Engineer,9999-01-01
10150,Zhenbing,Perng,1986-11-16,70122,Senior Engineer,9999-01-01
10153,Heekeun,Majewski,2000-01-08,54246,Assistant Engineer,9999-01-01
10157,Nigel,Aloisi,1997-12-10,48770,Senior Engineer,9999-01-01
10198,Pranav,Furedi,1985-08-31,44076,Senior Engineer,9999-01-01
10215,Xiaobin,Duclos,1991-11-23,43944,Senior Staff,9999-01-01
10224,Leon,Trogemann,1988-01-09,40000,Senior Engineer,9999-01-01
10233,Lein,Vendrig,1994-04-29,40000,Senior Staff,9999-01-01
10258,Basil,Ishibashi,1985-05-17,66280,Senior Engineer,9999-01-01
10272,Yishai,Cannane,1997-10-23,58070,Staff,9999-01-01
10282,Hercules,Benzmuller,1996-05-02,40000,Engineer,9999-01-01
10283,Kauko,Birjandi,1988-05-25,40000,Senior Engineer,9999-01-01
10326,Masali,Czap,1998-09-02,40000,Staff,9999-01-01
10340,Djelloul,Laventhal,1988-03-30,68132,Senior Staff,9999-01-01
10347,Pradeep,Kaminger,1998-02-20,42199,Staff,9999-01-01
10355,Satyanarayana,Cochrane,1996-01-26,70434,Staff,9999-01-01
10356,Vasilis,Standera,1995-06-26,45376,Senior Staff,9999-01-01
10364,Nakhoon,Dengi,1985-11-14,51401,Senior Engineer,9999-01-01
10372,Anneli,Frijda,1985-07-30,54505,Technique Leader,9999-01-01
10387,Parto,Wrigley,1994-01-07,61374,Senior Staff,9999-01-01
10396,Sibyl,Rahier,1986-01-11,40393,Senior Engineer,9999-01-01
10402,Volkmar,Ebeling,1987-01-02,40000,Technique Leader,9999-01-01
10404,Prodip,Rosti,1988-08-28,51647,Senior Engineer,9999-01-01
10426,Arunas,Luce,1985-07-06,65757,Technique Leader,9999-01-01
10429,Martien,Improta,1988-09-23,40000,Senior Engineer,9999-01-01
10432,Hisao,Tiemann,1990-08-13,40000,Senior Staff,9999-01-01
10451,Bodh,Ranta,1988-03-12,46275,Senior Engineer,9999-01-01
10453,Tsvetan,Matzel,1985-04-02,40000,Senior Staff,9999-01-01
10463,Ung,Zaiane,1994-02-17,66480,Staff,9999-01-01
10486,Amstein,Kossowski,1987-10-08,71692,Senior Engineer,9999-01-01
10494,Yakkov,Servieres,1991-12-18,50094,Senior Engineer,9999-01-01
10504,Xiong,Varker,1999-10-19,43931,Staff,9999-01-01
10512,Udi,Gihr,1989-11-28,40000,Senior Staff,9999-01-01
10522,Marke,Cesareni,1986-12-12,40000,Senior Staff,9999-01-01
10548,Ramalingam,Gunderson,1986-07-04,90631,Senior Staff,9999-01-01
10564,Jianhao,Thisen,1995-11-23,46660,Senior Engineer,9999-01-01
10623,Aleksander,Danlos,1992-01-15,60268,Senior Engineer,9999-01-01
10628,Krisda,Krogh,1987-03-14,41650,Senior Engineer,9999-01-01
10631,Inderjeet,Chaudhuri,1994-10-18,40000,Engineer,9999-01-01
10642,Hirochika,Narlikar,1998-10-05,40000,Engineer,9999-01-01
10653,Otmar,Feinberg,1987-04-30,40000,Senior Engineer,9999-01-01
10671,Parviz,Rebaine,1995-09-14,74037,Senior Staff,9999-01-01
10676,Valeri,Danley,1999-09-04,58226,Engineer,9999-01-01
10693,Berhard,Daescu,1986-01-08,40000,Senior Staff,9999-01-01
10702,Bader,Szemeredi,1991-01-14,46581,Senior Engineer,9999-01-01
10718,Adib,Rullman,1988-07-21,75473,Senior Engineer,9999-01-01
10726,Zita,Minakawa,1992-02-25,46315,Senior Engineer,9999-01-01
10734,Sachar,Erdi,1995-12-19,47377,Engineer,9999-01-01
10745,Poorav,Ranze,1988-01-23,40000,Senior Engineer,9999-01-01
10749,King,Brendel,1985-09-26,60829,Senior Engineer,9999-01-01
10767,Monique,Doering,1997-07-15,40651,Staff,9999-01-01
10768,Ishfaq,Candan,1985-07-04,65717,Senior Engineer,9999-01-01
10778,Selwyn,Merey,1986-07-04,64996,Senior Staff,9999-01-01
10791,Tadahiko,Sgarro,1988-07-30,40000,Senior Engineer,9999-01-01
10795,Supot,Naudin,1993-05-03,84206,Senior Staff,9999-01-01
10808,Chenxi,Leijenhorst,1987-03-07,40000,Senior Engineer,9999-01-01
10835,Tomoyuki,Kermarrec,1995-08-22,40000,Engineer,9999-01-01
10836,Jianhua,Leivant,1987-08-10,65502,Senior Staff,9999-01-01
10844,Dipayan,Koprowski,1997-04-25,40000,Engineer,9999-01-01
10847,Theirry,Danley,1986-07-25,40000,Senior Staff,9999-01-01
10848,Fen,Bratsberg,1985-04-20,50475,Senior Engineer,9999-01-01
10878,Lakshmi,Deville,1997-04-25,72102,Staff,9999-01-01
10879,Muzhong,Chleq,1985-08-15,65651,Senior Engineer,9999-01-01
10883,Shimshon,Champarnaud,1996-12-28,40000,Engineer,9999-01-01
10909,Georgi,Atchley,1993-12-26,80935,Senior Engineer,9999-01-01
10921,Mara,Bahi,1986-07-27,72601,Senior Engineer,9999-01-01
10924,Hironoby,Atchley,1988-08-14,84783,Senior Staff,9999-01-01
10927,Gal,Scallan,1986-09-12,51819,Senior Staff,9999-01-01
10936,Mountaz,Schicker,1990-05-09,40000,Senior Staff,9999-01-01
10943,Berna,Skafidas,1993-05-22,45890,Senior Engineer,9999-01-01
10965,Eckart,Braunschweig,1986-07-29,61654,Senior Staff,9999-01-01
10969,Premal,Noriega,1994-05-12,40000,Senior Engineer,9999-01-01
10974,Muneo,Papsdorf,1999-05-17,56005,Senior Engineer,9999-01-01
10986,Masako,Schiper,1985-10-11,43900,Technique Leader,9999-01-01
10988,Chinya,Deyuan,1985-06-19,54174,Senior Engineer,9999-01-01
10989,Sumali,Candan,1985-07-20,46406,Senior Staff,9999-01-01
10990,Shin,Foote,1990-08-06,40000,Technique Leader,9999-01-01
11009,Alper,Axelband,1986-09-09,75111,Senior Staff,9999-01-01
11012,Taegyun,Speckmann,1996-07-06,72092,Staff,9999-01-01
11019,Leon,Huttel,1992-05-24,69387,Senior Engineer,9999-01-01
11021,Srinidhi,Henders,1998-02-02,62670,Staff,9999-01-01
11027,Remzi,Cappello,1986-05-07,40000,Senior Engineer,9999-01-01
11031,Ottavia,Walstra,1985-10-24,71654,Senior Staff,9999-01-01
11037,Lansing,Maliniak,1988-01-28,40000,Senior Engineer,9999-01-01
11038,Jinya,Beidas,1985-07-15,44993,Senior Staff,9999-01-01
11042,Gou,Breugel,1993-06-21,40000,Senior Engineer,9999-01-01
11048,Jaques,Demke,1999-05-27,65697,Senior Staff,9999-01-01
11050,Elvis,Katiyar,1986-05-06,52251,Senior Staff,9999-01-01
11051,Przemyslawa,Erol,1991-03-27,40000,Senior Engineer,9999-01-01
11070,Adib,Raney,1985-07-24,40000,Senior Engineer,9999-01-01
11081,Barry,Boyle,1985-06-17,65686,Senior Staff,9999-01-01
11085,Hailing,Thummel,1996-02-10,66437,Senior Engineer,9999-01-01
11100,Berna,Cochrane,1986-10-13,40000,Senior Staff,9999-01-01
11106,Aris,Iwayama,1985-08-31,71446,Senior Engineer,9999-01-01
11112,Boaz,Mukaidono,1995-04-28,40000,Staff,9999-01-01
11113,Shahab,Peng,1985-11-30,66401,Senior Staff,9999-01-01
11121,Vugranam,Kakkad,1992-10-31,40000,Senior Engineer,9999-01-01
11133,Nalini,Azulay,1994-03-06,40000,Technique Leader,9999-01-01
11134,Sachar,Rajcani,1993-05-19,58731,Senior Engineer,9999-01-01
11137,Hugh,Luca,1995-03-16,40000,Engineer,9999-01-01
11139,Bogdan,Homond,1990-05-11,63596,Senior Staff,9999-01-01
11146,Ishfaq,Masand,1991-08-22,96019,Senior Staff,9999-01-01
11148,Zhanqiu,Botman,1990-02-08,56344,Senior Staff,9999-01-01
11162,Kauko,Narlikar,1985-03-28,69873,Senior Engineer,9999-01-01
11180,Mitsuyuki,Bojadziev,1986-06-11,40000,Senior Engineer,9999-01-01
11197,Tadahiro,Fordan,1989-09-12,88741,Senior Staff,9999-01-01
11204,Diederik,Covnot,1985-09-18,40000,Technique Leader,9999-01-01
